Name,100m,LongJump,ShotPut,HighJump,400m,110mHurdle,Discus,PoleVault,Javeline,1500m,Rank,Points,RAW.100m,RAW.LongJump,RAW.ShotPut,RAW.HighJump,RAW.400m,RAW.110mHurdle,RAW.Discus,RAW.PoleVault,RAW.Javeline,RAW.1500m,RAW.Rank,RAW.Points
Sebrle,-0.562873899,1.833113108,2.283919585,1.609554735,-1.089202459,-1.178182697,1.300944997,0.854536423,2.52825135,0.084391424,-1.404473115,2.592501918,10.85,7.84,16.36,2.12,48.36,14.05,48.72,5,70.52,280.01,1,8893
Clay,-2.12167295,2.212377889,0.913271989,0.935022427,-0.369622578,-1.008615376,1.712449994,0.494823966,2.360439007,0.254866696,-1.278193734,2.379291734,10.44,7.96,15.23,2.06,49.19,14.13,50.11,4.9,69.71,282,2,8820
Karpov,-1.893556016,1.738296913,1.762345721,1.272288581,-2.432996214,-1.347750019,2.168362005,-0.584313406,-0.575241103,-0.078373912,-1.151914353,2.101826425,10.5,7.81,15.93,2.09,46.81,13.97,51.65,4.6,55.54,278.11,3,8725
Macey,-0.410795943,0.663713367,1.519753226,1.946820889,-0.560354595,-0.097191026,1.188447228,-1.303738321,0.029712032,-1.165475021,-1.025634972,1.193492626,10.89,7.47,15.73,2.15,48.97,14.56,48.34,4.4,58.46,265.42,4,8414
Warners,-1.437322147,1.517059124,0.003550134,-0.076776035,-1.427318307,-1.262966358,-0.176328339,0.494823966,-0.606317463,-0.08351387,-0.899355591,0.986123817,10.62,7.74,14.48,1.97,47.97,14.01,43.73,4.9,55.39,278.05,5,8343
Zsivoczky,-0.334756965,-0.379264781,1.010308987,1.609554735,-0.187560198,0.729449665,0.383200039,-0.224600949,1.06351893,-0.812531241,-0.77307621,0.822565319,10.91,7.14,15.31,2.12,49.4,14.95,45.62,4.7,63.45,269.54,6,8287
Hernu,-0.10664003,-0.221237789,0.209753755,0.597756273,-0.768425886,-0.754264395,0.116757954,0.135111508,-0.11531098,-1.257137605,-0.646796829,0.676530946,10.97,7.19,14.65,2.03,48.73,14.25,44.72,4.8,57.76,264.35,7,8237
Nool,-0.752971344,0.853345757,-0.26330161,-1.088574497,-0.699068789,0.411510938,-0.673686897,2.293386252,0.62430638,-0.230859331,-0.520517448,0.670689571,10.8,7.53,14.26,1.88,48.81,14.8,42.05,5.4,61.33,276.33,8,8235
Bernard,-1.171185724,0.695318765,0.391698126,1.609554735,-0.421640401,-0.923831716,0.125639357,-1.303738321,-0.631178551,-0.232572651,-0.394238067,0.641482697,10.69,7.48,14.8,2.12,49.13,14.17,44.75,4.4,55.27,276.31,9,8225
Schwarzl,-0.068620541,0.726924163,-0.566542229,-0.414042189,0.124546738,-0.754264395,-0.561189128,1.21424888,-0.413644033,-0.468154057,-0.267958686,0.282238139,10.98,7.49,14.01,1.94,49.76,14.25,42.43,5.1,56.32,273.56,10,8102
Pogorelov,-0.182679008,0.158026992,0.755586868,0.935022427,1.017519362,-0.839048055,0.081232343,0.854536423,-1.008238381,0.737166085,-0.141679305,0.229665765,10.95,7.31,15.1,2.06,50.79,14.21,44.6,5,53.45,287.63,11,8084
Schoenbeck,-0.372776454,0.126421594,0.355309251,-1.088574497,0.592707143,-0.563501159,0.024983458,0.854536423,0.533149058,-0.017551076,-0.015399925,0.209220953,10.9,7.3,14.77,1.88,50.3,14.34,44.41,5,60.89,278.82,12,8077
Barras,0.539691284,-0.853345757,0.525123998,-0.414042189,-0.178890561,-0.499913413,0.149323098,-0.584313406,1.291412235,-1.022412858,0.110879456,0.180014078,11.14,6.99,14.91,1.94,49.41,14.37,44.83,4.6,64.55,267.09,13,8067
Smith,-0.562873899,-1.422242928,0.925401614,-0.751308343,-0.300265481,-1.262966358,1.389759025,-2.023163235,0.663669769,-0.53840015,0.237158837,0.05150383,10.85,6.81,15.24,1.91,49.27,14.01,49.02,4.2,61.52,272.74,14,8023
Averyanov,-1.703458571,0.252843187,-0.044968365,-0.414042189,0.08986819,-0.457521583,-1.316108367,0.135111508,-0.788632106,-0.685745611,0.363438218,0.045662455,10.55,7.34,14.44,1.94,49.72,14.39,39.88,4.8,54.51,271.02,15,8021
Ojaniemi,-1.209205213,0.758529562,0.597901746,-0.414042189,-0.430310038,0.856625156,-1.17696639,-0.584313406,0.195452617,-0.28397223,0.489717599,0.001852143,10.68,7.5,14.97,1.94,49.12,15.01,40.35,4.6,59.26,275.71,16,8006
Smirnov,-0.410795943,-0.60050257,-0.72422735,-0.414042189,-0.438979675,0.347923192,-0.549347257,-0.224600949,0.531077301,-1.34623021,0.61599698,-0.036116794,10.89,7.07,13.88,1.94,49.11,14.77,42.47,4.7,60.88,263.31,17,7993
Qi,0.235535371,0.252843187,-1.124504967,-0.076776035,0.02918073,0.369119107,0.238137126,-0.944025863,0.512431485,-0.547823406,0.742276361,-0.208437354,11.06,7.34,13.55,1.97,49.65,14.78,45.13,4.5,60.79,272.63,18,7934
Drews,-0.486834921,0.379264781,-1.706726954,-1.088574497,-0.959157902,-1.262966358,-1.248017612,0.854536423,-1.406015785,-0.41247118,0.868555742,-0.231802853,10.87,7.38,13.07,1.88,48.51,14.01,40.11,5,51.53,274.21,19,7926
Parkhomenko,0.539691284,-2.054350897,1.471234727,0.597756273,1.23426029,0.581078259,-0.718093911,0.135111508,1.554525413,-0.092937126,0.994835123,-0.255168353,11.14,6.61,15.69,2.03,51.04,14.88,41.9,4.8,65.82,277.94,20,7918
Terek,-0.296737476,-1.011372749,0.816234992,-0.414042189,-0.048846004,1.089780222,0.383200039,1.933673795,-1.594545701,0.971034172,1.121114504,-0.328185539,10.92,6.94,15.15,1.94,49.56,15.12,45.62,5.3,50.62,290.36,21,7893
Gomez,0.311574349,0,0.112716757,-1.425840651,-0.872461531,-0.415129753,-0.999338333,-1.303738321,0.495857427,-0.798824686,1.247393885,-0.409964788,11.08,7.26,14.57,1.85,48.61,14.41,40.95,4.4,60.71,269.7,22,7865
Turi,0.311574349,-1.106188944,-1.039597593,0.597756273,1.780447429,-0.73306848,-1.330910705,0.135111508,0.212026675,0.941051084,1.373673266,-0.868512719,11.08,6.91,13.62,2.03,51.67,14.26,39.83,4.8,59.34,290.01,23,7708
Lorenzo,0.387613327,-0.726924163,-1.524782583,-1.425840651,-0.239578021,1.640874016,-1.215452469,-0.944025863,0.008994459,-1.365933382,1.499952647,-1.207312464,11.1,7.03,13.22,1.85,49.34,15.38,40.22,4.5,58.36,263.08,24,7592
Karlivans,1.262061576,0,-1.427745585,-0.076776035,0.800778434,0.79303741,-0.291786576,-0.944025863,-1.118041519,-0.030400971,1.626232028,-1.233598651,11.33,7.26,13.3,1.97,50.54,14.98,43.34,4.5,52.92,278.67,25,7583
Korkizoglou,-0.52485441,-0.60050257,0.40382775,-0.414042189,1.338295936,0.75064558,0.516421081,-0.224600949,-1.091108674,3.253175508,1.752511409,-1.262805526,10.86,7.07,14.81,1.94,51.16,14.96,46.07,4.7,53.05,317,26,7573
Uldal,0.881866685,-0.853345757,-1.148764216,-1.425840651,1.156233556,1.026192477,-0.389482007,-0.944025863,0.348762658,0.229166906,1.87879079,-1.490619148,11.23,6.99,13.53,1.85,50.95,15.09,43.01,4.5,60,281.7,27,7495
Casarsa,1.376120043,-1.833113108,0.537253623,-0.414042189,3.106901909,1.662069931,1.283182191,-1.303738321,0.062860149,1.464470137,2.005070171,-1.756401706,11.36,6.68,14.92,1.94,53.2,15.39,48.66,4.4,58.62,296.12,28,7404